observation file: /projects/0/dfguu/users/edwin/data/observation_data/grdc_monthly_data_splitted//04/2651080.mon
nPairs;avg_obs;avg_sim;KGE_2009;KGE_2012;NSeff;NSeff_log;rmse;mae;bias;R2;R2ad;correlation
154;915.090909090909;1035.58877058153;0.804834178518331;0.870783274607571;0.856793837081404;0.757656102524924;340.275725604347;212.264296395438;120.497861490621;0.922397885891917;0.921887345667521;0.960415475662443
date;observation;simulation
1960-01-15;NA;129.829956054688
1960-02-15;NA;96.0208892822266
1960-03-15;NA;152.735992431641
1960-04-15;NA;102.510765075684
1960-05-15;NA;473.206329345703
1960-06-15;NA;1192.28796386719
1960-07-15;NA;3053.00756835938
1960-08-15;NA;1516.52624511719
1960-09-15;NA;3243.06103515625
1960-10-15;NA;842.913146972656
1960-11-15;NA;391.846282958984
1960-12-15;NA;209.178833007812
1961-01-15;NA;136.954620361328
1961-02-15;NA;139.292755126953
1961-03-15;NA;120.137901306152
1961-04-15;NA;74.3702926635742
1961-05-15;NA;528.654296875
1961-06-15;NA;1774.21789550781
1961-07-15;NA;2284.73315429688
1961-08-15;NA;2721.05981445312
1961-09-15;NA;1640.14807128906
1961-10-15;NA;1230.66357421875
1961-11-15;NA;460.913055419922
1961-12-15;NA;253.620239257812
1962-01-15;NA;174.72331237793
1962-02-15;NA;138.330810546875
1962-03-15;NA;110.556991577148
1962-04-15;NA;137.151077270508
1962-05-15;NA;569.306457519531
1962-06-15;NA;2259.21142578125
1962-07-15;NA;2792.8994140625
1962-08-15;NA;2731.0009765625
1962-09-15;NA;1408.58996582031
1962-10-15;NA;803.093017578125
1962-11-15;NA;338.419494628906
1962-12-15;NA;190.378021240234
1963-01-15;NA;123.339302062988
1963-02-15;NA;90.42919921875
1963-03-15;NA;114.637168884277
1963-04-15;NA;152.568420410156
1963-05-15;NA;921.248413085938
1963-06-15;NA;1441.38452148438
1963-07-15;NA;2710.2802734375
1963-08-15;NA;2964.0576171875
1963-09-15;NA;1684.64343261719
1963-10-15;NA;791.782531738281
1963-11-15;NA;458.637908935547
1963-12-15;NA;237.131149291992
1964-01-15;NA;137.420425415039
1964-02-15;NA;99.8562698364258
1964-03-15;NA;84.9681854248047
1964-04-15;NA;150.627914428711
1964-05-15;NA;704.740661621094
1964-06-15;NA;2081.3232421875
1964-07-15;NA;3676.646484375
1964-08-15;NA;2951.24780273438
1964-09-15;NA;2180.29150390625
1964-10-15;NA;955.724304199219
1964-11-15;NA;430.896423339844
1964-12-15;NA;237.180648803711
1965-01-15;NA;131.097030639648
1965-02-15;NA;106.672607421875
1965-03-15;NA;109.022514343262
1965-04-15;NA;172.32112121582
1965-05-15;NA;442.873779296875
1965-06-15;NA;1726.76086425781
1965-07-15;NA;2167.27905273438
1965-08-15;NA;3844.79711914062
1965-09-15;NA;1456.17712402344
1965-10-15;NA;643.204345703125
1965-11-15;NA;440.792907714844
1965-12-15;NA;178.525482177734
1966-01-15;NA;157.148178100586
1966-02-15;NA;109.87361907959
1966-03-15;NA;60.604133605957
1966-04-15;NA;126.91771697998
1966-05-15;NA;311.127197265625
1966-06-15;NA;968.119445800781
1966-07-15;NA;3669.47998046875
1966-08-15;NA;3334.19213867188
1966-09-15;NA;1879.04516601562
1966-10-15;NA;744.928405761719
1966-11-15;NA;349.959289550781
1966-12-15;NA;194.480285644531
1967-01-15;NA;119.81413269043
1967-02-15;NA;85.233154296875
1967-03-15;NA;259.143524169922
1967-04-15;NA;231.995834350586
1967-05-15;NA;570.535827636719
1967-06-15;NA;1874.09057617188
1967-07-15;NA;3146.8134765625
1967-08-15;NA;1424.12316894531
1967-09-15;NA;1873.69812011719
1967-10-15;NA;1042.66479492188
1967-11-15;NA;371.396118164062
1967-12-15;NA;189.839080810547
1968-01-15;NA;116.859992980957
1968-02-15;NA;63.6498641967773
1968-03-15;NA;85.52587890625
1968-04-15;NA;79.8328628540039
1968-05-15;NA;278.016143798828
1968-06-15;NA;1364.31909179688
1968-07-15;NA;2920.11059570312
1968-08-15;NA;2089.45092773438
1968-09-15;NA;1880.11889648438
1968-10-15;NA;3173.45825195312
1968-11-15;NA;438.574340820312
1968-12-15;NA;216.184432983398
1969-01-15;158;128.879211425781
1969-02-15;103;76.1712036132812
1969-03-15;127;94.4919586181641
1969-04-15;171;127.201156616211
1969-05-15;557;697.527709960938
1969-06-15;1690;1886.85876464844
1969-07-15;2350;2652.06103515625
1969-08-15;2020;1999.54443359375
1969-09-15;1470;2039.34997558594
1969-10-15;200;855.739990234375
1969-11-15;41;404.838836669922
1969-12-15;17;210.805404663086
1970-01-15;10;130.57307434082
1970-02-15;81;93.9893951416016
1970-03-15;131;58.8415756225586
1970-04-15;210;189.63591003418
1970-05-15;484;485.171417236328
1970-06-15;1670;2332.19116210938
1970-07-15;3110;3332.05639648438
1970-08-15;2120;1776.28845214844
1970-09-15;1680;2092.70068359375
1970-10-15;873;896.249816894531
1970-11-15;324;378.022674560547
1970-12-15;212;189.57453918457
1971-01-15;143;105.075912475586
1971-02-15;151;66.6725845336914
1971-03-15;177;58.9377365112305
1971-04-15;NA;311.637390136719
1971-05-15;NA;500.194763183594
1971-06-15;NA;2193.97338867188
1971-07-15;NA;2523.1240234375
1971-08-15;NA;2234.33056640625
1971-09-15;NA;1554.98315429688
1971-10-15;NA;1840.10180664062
1971-11-15;NA;549.754760742188
1971-12-15;NA;263.218353271484
1972-01-15;NA;125.317840576172
1972-02-15;NA;122.583709716797
1972-03-15;NA;62.8438301086426
1972-04-15;NA;288.964965820312
1972-05-15;820;488.664611816406
